id,pose_x,pose_y,pose_z,rot_x,rot_y,rot_z,rot_w,command,
0,26.2715,-2.34516,0,0,0,0,1,,
1,46.6405,-0.418842,0,0,0,0.712926,0.701239,,
2,46.0197,30.059,0,0,0,0.690167,0.723651,,
3,46.3,53.9749,0,0,0,0.978345,0.206982,,
4,43.2202,66.3535,0,0,0,0.717425,0.696635,,
5,43.4701,82.1319,0,0,0,0.713622,0.700531,,
6,34.7955,98.91,0,0,0,-0.99528,0.0970483,,
7,21.2298,95.154,0,0,0,-0.997916,0.0645295,,
8,12.7661,95.6363,0,0,0,0.999991,0.00418373,,
9,2.81331,95.9966,0,0,0,1,6.12323e-17,,
10,-31.8836,97.4345,0,0,0,0.998568,0.0535009,,
11,-59.9494,96.9089,0,0,0,-0.712787,0.701381,,
12,-60.4143,79.0731,0,0,0,-0.717425,0.696635,,
13,-61.6304,52.5553,0,0,0,-0.729949,0.683502,,
14,-56.7426,28.2283,0,0,0,0.110812,0.993841,,
15,-36.7127,23.4172,0,0,0,-0.11072,0.993852,,
16,-8.76684,14.726,0,0,0,-0.122549,0.992462,,
17,15.7083,14.2568,0,0,0,0.648296,0.761389,,
18,30.0159,19.68,0,0,0,-0.00714262,0.999974,,
19,51.1072,28.4539,0,0,0,0.0935778,0.995612,,
20,74.9531,27.0903,0,0,0,0.0306951,0.999529,strict pause,
21,117.784,35.1871,0,0,0,-0.0312045,0.999513,,
22,170.209,33.7075,0,0,0,-0.0383766,0.999263,,
23,213.336,32.3846,0,0,0,-0.0677129,0.997705,,
24,267.131,31.5248,0,0,0,-0.0968037,0.995303,,
25,280.915,24.9459,0,0,0,-0.61468,0.788776,,
26,281.808,5.52777,0,0,0,-0.707104,0.70711,,
27,281.328,-8.20808,7.62939e-06,0,0,-0.707104,0.70711,,
28,280.87,-22.6549,0,0,0,-0.707104,0.70711,,
29,280.423,-43.0004,0,0,0,-0.744619,0.66749,,
30,280.115,-52.0769,0,0,0,-0.707107,0.707107,,
31,277.168,-61.8878,1.90735e-06,0,0,-0.733227,0.679983,strict pause,
32,277.073,-71.1559,0,0,0,-0.695859,0.718178,strict pause,
33,276.689,-88.697,0,0,0,-0.695859,0.718178,strict pause,
34,279.984,-90.149,0,0,0,0.0300183,0.999549,strict pause,
35,305.644,-93.2142,0,0,0,-0.134882,0.990862,,
36,315.428,-124.35,0,0,0,-0.729987,0.683462,,
37,314.311,-160.235,0,0,0,-0.708353,0.705859,,
38,313.836,-189.484,0,0,0,-0.811227,0.584731,,
39,320.142,-227.976,0,0,0,-0.567108,0.823644,,
40,335.394,-249.034,0,0,0,0.130338,0.99147,,
41,360.923,-240.2,0,0,0,0.176532,0.984295,,
42,379.379,-232.722,0,0,0,0.171938,0.985108,,
43,397.662,-218.939,0,0,0,0.791723,0.61088,,
44,385.384,-197.78,0,0,0,0.941241,0.337735,,
45,362.591,-179.555,0,0,0,0.806579,0.591127,,
46,359.457,-152.424,0,0,0,0.707105,0.707108,,
47,357.224,-126.701,0,0,0,0.856263,0.51654,,
48,378.227,-99.9273,0,0,0,0.0705256,0.99751,,
49,421.822,-79.6946,1.90735e-06,0,0,0.725541,0.688179,strict pause,
50,428.062,-70.3515,0,0,0,0.00490201,0.999988,,
51,450.532,-70.1183,0,0,0,-0.0344646,0.999406,,
52,482.38,-70.1256,0,0,0,0.0153726,0.999882,,
53,505.268,-70.5665,0,0,0,0.0247906,0.999693,,
54,529.602,-70.4759,0,0,0,-0.0132867,0.999912,,
55,549.237,-70.7988,0,0,0,0.995082,0.0990577,,
56,570.881,-70.1508,0,0,0,0.615413,0.788205,,
57,568.386,-39.2938,0,0,0,0.0799436,0.996799,strict pause,
58,574.691,-40.6528,0,0,0,-0.702564,0.71162,strict pause,
59,572.447,-68.0257,0,0,0,-0.79398,0.607944,,
60,546.577,-70.9401,0,0,0,-0.999737,0.022931,,
61,523.599,-70.6932,0,0,0,-0.99964,0.0268429,,
62,498.308,-70.5326,0,0,0,0.99985,0.0173487,,
63,469.482,-70.4339,0,0,0,0.999878,0.0156181,,
64,440.688,-70.2366,0,0,0,0.99993,0.0118604,,
65,422.319,-71.5709,0,0,0,-0.727892,0.685691,strict pause,
66,408.6,-81.1913,0,0,0,0.99847,0.0553002,,
67,382.748,-81.702,0,0,0,0.999254,0.0386309,,
68,359.636,-81.2824,0,0,0,-0.999614,0.0277939,,
69,336.817,-81.905,0,0,0,0.999136,0.0415595,,
70,301.417,-88.4511,3.8147e-06,0,0,-0.99995,0.0100465,strict pause,
71,296.423,-89.8977,1.90735e-06,0,0,-0.999994,-0.00335739,strict pause,
72,280.032,-86.8645,1.33514e-05,0,0,0.710236,0.703963,strict pause,
73,278.183,-83.0706,3.8147e-06,0,0,0.724258,0.689529,,
